[2019-11-26 15:18:57,436][quote.py:root:32][quote->fetchLastHisTickByPage] [INFO]- ['sh600000', '600000', '浦发银行', '12.060', '-0.010', '-0.083', '12.050', '12.060', '12.070', '12.150', '12.170', '11.980', '59633264', '719075408', '15:00:00', 6.519, 5.798, '16.3600', 0.737, 35398608.958782, 33893139.262194, 0.21219, '', '']
[2019-11-26 15:18:57,438][quote.py:root:32][quote->fetchLastHisTickByPage] [INFO]- ['sh600004', '600004', '白云机场', '16.440', '0.010', '0.061', '16.440', '16.480', '16.430', '16.460', '16.830', '16.200', '34124125', '563805365', '15:00:09', 29.891, 43.423, '7.6569', 2.147, 3401962.925016, 3401962.925016, 1.64905, '', '']
[2019-11-26 15:18:57,438][quote.py:root:32][quote->fetchLastHisTickByPage] [INFO]- ['sh600006', '600006', '东风汽车', '4.360', '-0.010', '-0.229', '4.350', '4.360', '4.370', '4.370', '4.390', '4.340', '5362400', '23438696', '15:00:00', 15.746, 18.475, '3.6536', 1.193, 872000, 872000, 0.26812, '', '']
[2019-11-26 15:18:57,439][quote.py:root:32][quote->fetchLastHisTickByPage] [INFO]- ['sh600007', '600007', '中国国贸', '16.870', '0.170', '1.018', '16.850', '16.870', '16.700', '16.730', '17.150', '16.700', '1045325', '17694309', '15:00:00', 21.909, 18.397, '7.2833', 2.316, 1699285.634858, 1699285.634858, 0.10378, '', '']
[2019-11-26 15:18:57,439][quote.py:root:32][quote->fetchLastHisTickByPage] [INFO]- ['sh600008', '600008', '首创股份', '3.260', '-0.010', '-0.306', '3.260', '3.270', '3.270', '3.270', '3.290', '3.250', '7244691', '23647024', '15:00:09', 22.498, 21.661, '1.9196', 1.698, 1853456.115482, 1853456.115482, 0.12743, '', '']
[2019-11-26 15:18:57,439][quote.py:root:32][quote->fetchLastHisTickByPage] [INFO]- ['sh600009', '600009', '上海机场', '76.300', '1.270', '1.693', '76.290', '76.300', '75.030', '75.640', '76.600', '75.020', '8592457', '652791975', '15:00:09', 34.682, 28.911, '16.0713', 4.748, 14702692.95824, 8343224.90911, 0.78579, '', '']
[2019-11-26 15:18:57,440][quote.py:root:32][quote->fetchLastHisTickByPage] [INFO]- ['sh600010', '600010', '包钢股份', '1.320', '-0.020', '-1.493', '1.310', '1.320', '1.340', '1.340', '1.340', '1.300', '280002955', '369066961', '15:00:00', 18.082, 27.216, '1.1798', 1.119, 6017224.309536, 4181391.929484, 0.88393, '', '']
[2019-11-26 15:18:57,441][quote.py:root:32][quote->fetchLastHisTickByPage] [INFO]- ['sh600011', '600011', '华能国际', '5.910', '-0.040', '-0.672', '5.910', '5.930', '5.950', '5.950', '5.980', '5.860', '23462249', '139289718', '15:00:00', 84.429, 19.17, '4.9312', 1.198, 9277573.175169, 6499646.562129, 0.21334, '', '']
[2019-11-26 15:18:57,441][quote.py:root:32][quote->fetchLastHisTickByPage] [INFO]- ['sh600012', '600012', '皖通高速', '5.670', '0.020', '0.354', '5.660', '5.670', '5.650', '5.650', '5.700', '5.630', '2264677', '12853374', '15:00:00', 8.374, 8.42, '6.3311', 0.896, 940431.87, 660895.2, 0.19429, '', '']
[2019-11-26 15:18:57,441][quote.py:root:32][quote->fetchLastHisTickByPage] [INFO]- ['sh600015', '600015', '华夏银行', '7.520', '0.040', '0.535', '7.510', '7.520', '7.480', '7.490', '7.520', '7.470', '26542941', '199118505', '15:00:09', 4.821, 5.361, '13.0900', 0.574, 11571192.435216, 9642660.363056, 0.207, '', '']
[2019-11-26 15:18:57,442][quote.py:root:32][quote->fetchLastHisTickByPage] [INFO]- ['sh600016', '600016', '民生银行', '6.190', '0.010', '0.162', '6.180', '6.190', '6.180', '6.190', '6.200', '6.140', '96644899', '596975317', '15:00:00', 5.43, 5.097, '10.0900', 0.613, 27101317.052738, 21951054.268847, 0.27253, '', '']
[2019-11-26 15:18:57,442][quote.py:root:32][quote->fetchLastHisTickByPage] [INFO]- ['sh600017', '600017', '日照港', '2.830', '-0.020', '-0.702', '2.820', '2.830', '2.850', '2.850', '2.860', '2.820', '8346400', '23651208', '15:00:00', 13.476, 13.586, '3.8036', 0.744, 870410.050304, 870410.050304, 0.27137, '', '']
[2019-11-26 15:18:57,443][quote.py:root:32][quote->fetchLastHisTickByPage] [INFO]- ['sh600018', '600018', '上港集团', '5.740', '0.090', '1.593', '5.740', '5.750', '5.650', '5.660', '5.740', '5.620', '29423559', '167342313', '15:00:00', 12.945, 11.146, '3.4735', 1.653, 13301689.2491, 13301689.2491, 0.12697, '', '']
[2019-11-26 15:18:57,444][quote.py:root:32][quote->fetchLastHisTickByPage] [INFO]- ['sh600019', '600019', '宝钢股份', '5.660', '-0.100', '-1.736', '5.660', '5.670', '5.760', '5.750', '5.750', '5.600', '119357922', '675195599', '15:00:00', 5.835, 8.581, '7.8403', 0.722, 12607344.57225, 12509215.19955, 0.54005, '', '']
[2019-11-26 15:18:57,444][quote.py:root:32][quote->fetchLastHisTickByPage] [INFO]- ['sh600020', '600020', '中原高速', '4.200', '-0.010', '-0.238', '4.200', '4.210', '4.210', '4.200', '4.240', '4.160', '16090629', '67610794', '15:00:00', 20.468, 7.973, '4.5780', 0.917, 943896.16944, 943896.16944, 0.71598, '', '']
[2019-11-26 15:18:57,445][quote.py:root:32][quote->fetchLastHisTickByPage] [INFO]- ['sh600021', '600021', '上海电力', '7.220', '-0.080', '-1.096', '7.220', '7.230', '7.300', '7.360', '7.370', '7.220', '11980686', '87117726', '15:00:00', 6.463, 6.544, '6.0249', 1.198, 1889592.550234, 1694711.83221, 0.51041, '', '']
[2019-11-26 15:18:57,445][quote.py:root:32][quote->fetchLastHisTickByPage] [INFO]- ['sh600022', '600022', '山东钢铁', '1.400', '-0.040', '-2.778', '1.390', '1.400', '1.440', '1.440', '1.440', '1.390', '86899226', '122163042', '15:00:00', 7.277, 85.89, '1.8883', 0.741, 1532516.94624, 1532516.94624, 0.79385, '', '']
